전북현대모터스,홈 - 초록색 / 어웨이 - 흰색+초록색,2위,봉황을 메인에 두고 기존 비파형 동검 형태를 방해평으로 간결하게 표현했다. 구단명을 크게 강조해 연고 의식을 높였다.,전주월드컵경기장,나이티. 서치,김두현(감독대행),홍정호,1994년 12월 12일 전북 다이노스 축구단으로 창단되었다. 우승기록으로는 k리그1 9회(2009. 2011. 2014. 2015. 2017. 2018. 2019. 2020. 2021)/ FA컵 5회 (2000. 2003. 2005. 2020. 2022)/ 슈퍼컵 1회(2004)/ AFC 챔피언스리그 2회(2006. 2016),구스타보. 조규성. 이동준. 송민규. 하파 실바. 이성윤. 박준범. 이규동. 박규민. 안드레 루이스. 김창훈,김건웅. 한교원. 백승호. 이수빈. 이민혁. 아마노 준. 문선민. 맹성웅. 류재문. 오재혁. 강영석. 강상윤. 박채준. 김래우. 도재경,정태욱. 박진섭. 윤영선. 구자룡. 박진성. 김진수. 최철순. 홍정호. 홍장우. 정우재. 김문환. 유예찬. 이우연. 노윤상. 박창우. 유수환,김정훈. 정민기. 박범수. 공시현. 김태양,오오오오 오오오오 오오오오 승리의 전북~ 오오오오 오오오오 오오오오 승리의 전북~ 오오 오오오오 오오오오 오오오오 승리의 전북~ 오오오오 오오오오 오오오오
울산현대,홈 - 파란색+노란색 / 어웨이 - 민트색+흰색,1위,용맹스런 호랑이의 모습을 대패적 이미지로 표방했다.,울산문수월드컵경기장,미타,홍명보,정승현,1983년 12월 6일에 현대 호랑이 축구단으로 창단되었다. 우승 기록으로는 k리그1 3회(1996. 2005. 2022)/ FA컵 1회 (2017)/ 리그컵 5회(1986. 1995. 1998. 2007. 2011)/ 슈퍼컵(2006)/ AFC 챔피언스리그 2회(2012. 2020)/ A3챔피언스 컵 1회 (2006)가 있다.,마틴아담. 엄원상. 주민규. 박주영,박용우. 윤일록. 보야니치. 바코. 김성준. 루빅손. 김민혁. 이규성. 이청용. 황재환. 강윤구. 아타루. 이재욱,장시영. 이상혁. 임종은. 이명재. 정승현. 김영권. 김채환. 조현택. 김기희. 설영우,조수혁. 조현우. 설현빈. 민동환,오오오 오 오오 오 오오오 오 오오 오 울 산 현 대 울산 현대 울 산 현 대 울산 현대 행복한 우리 의 울산 젊음이 가득 한 울산 힘껏 소리쳐라 함께 외쳐보자 승리의 북소리를 울려라 행복 가득한 우리의 울산 웃음 넘치는 우리의 울산
대구FC,홈 - 하늘색 / 어웨이 - 흰색,8위,태양을 형상화한 기존 엠블럼에 능금 잎을 감싸며 능금의 고향인 대구와 녹색 숲의 도시를 지향하는 대구의 발전을 상징한다.,DGB 대구은행파크,빅토. 리카,최원권,세장야,2002년 10월 9일 대구시민프로축구단으로 창단되었다. 우승기록으로는 FA컵 1회 (2018)가 있다.,에드가. 세장야. 전용준. 고재현. 김영준. 이근호. 김동현. 박재현. 박용희. 이종훈. 바셀루스,세라토. 박세진. 서도협. 이진용. 최민기. 김희승. 배수민. 페냐. 이용래,황재원. 안창민. 장성원. 홍정운. 김진혁. 이원우. 케이타. 김강산. 홍철. 손승우. 윤태민. 박재경. 신한결. 정윤서. 유지운. 김리관. 조진우,최영은. 오승훈. 한태희. 한지율. 이준희,내 사랑 대구 내 사랑 대구 내 사랑 대구 에프씨 내 사랑 대구 내 사랑 대구 내 사랑 대구 에프씨 (허밍)
제주 유나이티드,홈 - 주황색 / 어웨이 - 흰색,5위,제주도를 상징하는 한라산과 백록의 뿔 형태를 바탕으로 한 방패모양이다.,제주월드컵경기장. 제주종합경기장,감규리. 한라할방. 백록이,남기일,최영준,1982년 12월 17일 유공축구단으로 창단되었다. 우승기록으로는 K리그1 1회(1989)/ K리그2 1회(2020)/ 리그컵 3회(1994. 1996. 2000)가 있다.,유리조나. 헤이스. 김긍섭. 서진수. 링. 김주공. 지상욱. 진성욱,최영준. 구자철. 이창민.이기혁. 한종무. 전성진. 김봉수,안태현.연제운. 송주훈. 이지솔. 정운. 김주원. 안현범. 임동혁. 김오규. 임채민. 김대환. 이주용. 곽승민,김동준. 김형근. 임준섭. 유연수. 김근배,나의 사랑 제주~ 나의 사랑 제주~ 그대 가는 곳 언제까지나 함께하리라 x2
수원FC,홈 - 남색+파란색+빨간색 / 어웨이 - 흰색+빨간색+파란색,7위,수원시를 상징하는 수원화성의 장안문. 팔달문을 상징 모티브로 만든 엠블럼이다.,수원종합운동장,장안장군. 팔달장군. 창룡장군. 화서장군,김도균,윤빛가람,2003년 3월 15일 수원시청축구단으로 창단했다. 우승기록으로는 내셔널리그 1회(2010)/ 내셔널축구선수권대회 3회(2005.2007.2012)/ 대통령배 전국축구대회(2004. 2007)가 이 있다.,이승우. 장재웅. 루안. 이대광. 양동현. 김규형. 정은우. 김현. 정재윤. 라스. 이광혁,정재용. 무릴로. 윤빛가람. 황순민. 이태섭. 김예성. 서승우. 김선민,정동호. 박철우. 김현훈. 잭슨. 박주호. 오인표. 이재성. 최보경. 김주엽. 신세계. 곽동준. 박병현. 이용,박배종. 노동건. 김찬용. 이범영,워 워어어 어어 승리를 향해 달려 수원FC 워 워어어 어어 영광을 위해 싸워 수원FC 승리의 그날까지 수원의 전사들이여 최선을 다해 싸워라 끝없는 대결속에 우리는 전진한다
수원삼성블루윙즈,홈 - 파란색 / 어웨이 - 흰색,10위,젊음과 패기를 상징하는 청색은 기업의 특성을. 적색은 끓어오르는 정열과 중단 없는 도전의 상징으로 생동감과 역동성을 동시에 드러낸다. 한편 세계 문화유산으로 지정된 연고지의 심볼인 수원 화성이 돋보인다,수원월드컵경기장,아길레온,김병수,이기제,1995년 12월 15일 수원삼성블루윙즈 축구단으로 창단되었다. 우승기록으로는 K리그1 4회(1998. 1999. 2004. 2008)/ FA컵 5회(2002. 2009. 2010. 2016. 2019)/ 리그컵 6회(1998.1999.2000.2001.2005.2008)/ 슈퍼컵 3회(1999.2000.2005)/ AFC 챔피언스리그 2회(2000-01. 20001-02)/ 아시안 슈퍼컵 2회(2001.2002)/ A3 챔피언스컵 1회(2005)/ 팬퍼시픽 챔피언쉽 1회(2009)가 있다.,안병준. 류승우. 전진우. 김경중. 아코스티. 박희준. 이상민. 서동한. 김주찬. 뮬리치. 바사니,한석종. 고승범. 최성근. 정승원. 김보경. 이종성. 강태원. 허동호. 염기훈. 진현태. 명준재. 유제호,장호익. 불투이스. 한호강. 김태환. 고명석. 이기제. 장석환. 이규석. 박대원. 민상기 . 손호준,양형모. 이성주. 박지민. 안찬기,짝짝 짝짝짝 짝짝짝짝 수원! 짝짝짝짝 짝짝짝 짝짝 우리에겐 승리뿐이다! 나의 수원! 나의 수원! 나의 수원!
FC 서울,홈 - 빨간색+검정색 / 어웨이 - 흰색,9위,서울 월드컵 경기장의 8각 방패연 지붕 이미지를 이용하고 축구공과 태양의 이미지를 넣었다.,서울월드컵경기장,씨드,안익수,오스마르,1983년 12월 22일 럭키금성 황소 축구단으로 창단 우승기록으로는 K리그1 6회(1985. 1990. 2000. 2010. 2012. 2016)/ FA컵 2회(1998. 2015)/ 리그컵 2회(2006. 2010)/ 슈퍼컵 1회(2001)/ 전국축구선수권대회 1회(1998)가 있다.,나상호. 김신진. 지동원. 강성진. 황의조. 김경민. 손승범. 박동진. 일류첸코. 윌리안. 아이에쉬,오스마르. 기성용. 고요한. 임상협. 정현철. 한찬희. 팔로세비치. 김윤겸. 김진성. 서재민. 백상훈. 박장한결. 한승규. 이승준. 김성민. 황도윤,황현수. 권완규. 이한범. 김진야. 김현덕. 이시영. 김주성. 조영광. 완재민. 이지석. 박성훈. 이태석. 강상희. 박수일,백종범. 황성민. 최철원. 서주환,워 어어어어~ 승리하리라 그대! 우리는 FC 서울~! 워 어어어어~ 승리하리라 그대! 사랑한다 FC 서울!~ 들리는가 그대를 부르는 뜨거운 함성이! 언제나 난 너와 함께하리! 보이는가 불타오르는 우리의 열정이! 이제는 하나되어 외쳐라!
인천유나이티드,홈 - 검정색+파란색 / 어웨이 - 하늘색,4위,기존의 타 구단에서 사용하지 않은 타원형의 모양을 활용하였으며 타원과 노란색은 원만함. 화합의 이미지를 나타내는 형상으로 심. 시민. 기업이 화합하는 이미지와 인천을 상징하는 닻. 바른길로 이끄는 방향키. 날개의 형상을 조합하여 프로축구계의 새로운 리더가 되고자 하는 강한 의지를 상징화했다.,인천축구전용경기장,유티,조성환,오반석,2003년 12월 30일 창단되었다. 우승 기록은 없다. 최고 성적은 2005년 K리그1 준우승과 2015년 FA컵 준우승이다.,에르난데스. 제르소. 송시우. 지언학. 김민석. 김보섭. 하동선. 홍시후. 김대중. 박승호. 천성훈,이명주. 김도혁. 신진호. 이동수. 여름. 박현빈. 민경현. 최우진. 김현서. 박진홍. 음포쿠. 김세훈. ,김연수. 오반석. 문지환. 강윤구. 정동윤. 임형진. 김준엽. 델브리지. 김건희. 김동민. 권한진,김도헌. 이태희. 김유성. 민성준,위대한 인천 오오오 승리의 인천 오오오 오늘 우리 영광을 위해 소리 높여 노래 부르자 랄라 랄라라 랄랄라 (헤이) 랄랄라 (헤이) 랄랄라 (헤이) 랄라 랄라라 랄랄라 라랄라 랄라라
포항 스틸러스,홈 - 검정색+빨간색 / 어웨이 - 흰색,3위,클럽의 이니셜인 'S'를 타오르는 불꽃으로 표현. 전체적인 형상은 불꽃 방패이다. 심볼의 하단은 독수리의 부리형상으로 표현했다.,포항스틸야드,쇠돌이. 쇠순이,김기동,김승대,1973년 실업축구단으로 창단되었고 1984년 프로축구단으로 전환되었다. 우승기록으로는 K리그1 5회(1986. 1988. 1992. 2007. 2013)/ FA컵 4회(1996. 2008. 2012. 2013)/ 리그컵 2회(1993. 2009)/ AFC 챔피언스리그 3회(1996-97. 1997-98. 2009)/ 홍콩 구정컵(2010)이 있다.,김인성. 제카. 백성동. 김승대. 강현제. 정재희. 박형우. 윤재운. 이호재. 완델손,김종우. 오베르단. 고영준. 이승모. 신광훈. 윤민호. 노경호. 조재훈. 김정현. 송한록. 김준호. 김규표,심상민. 김용환. 그랜트. 신원철. 박승욱. 박찬용. 박건우. 이규백. 하창래. 최현웅,윤평국. 황인재. 이승환. 조성훈,포항 포항 포항 스틸러스 포항 포항 승리하라 포항 포항 포항 스틸러스 포항 포항 함께 달리자 승리의 그날까지 (짝짝짝 짝짝짝 짝짝짝 포항) 싸워라 포항이여 (짝짝짝 짝짝짝 짝짝짝 포항) 오레~오 오레~오 끝까지 달려라 오레~오 오레~오 위 아더 챔피언
강원 FC,홈 - 주황색 / 어웨이 - 흰색,6위,강원FC의 엠블럼은 팀의 굳건한 기상과 패기를 상징하는 고구려시대의 갑주를 형상화한 디자인 위에 300만 강원도민의 대화합을 의미하는 Great Union 슬로건을 넣어 진정한 도민구단으로서의 정체성을 강조하고 있다.,강릉종합운동장. 춘천송암스포츠타운,강웅이,최용수,임창우,2008년 12월 18일 강원도민프로축구단 창단 아직 우승기록이 없다. 최고성적으로는 K리그1 6위이다.,김대원. 갈레고. 박기현. 이정협. 조진혁. 우병철. 홍석환. 박상혁. 김해승,서민우. 알리바예프. 양현준. 한국영. 김대우. 고민석. 이승원. 김현규. 최성민. 이강한. 홍성무. 황문기,김영빈. 이웅희. 강지훈. 유인수. 윤석영. 김우석. 정승용. 임창우. 김진호. 조현태. 김주형. 이동진. 이지우. 김기환. 권석주. 전현병,유상훈. 김정호. 이광연. 조민규,알레~! 포르자~! 알레 포르자 강원~! 강원을 외쳐! 승리를 외쳐! 알레 포르자 워어어~~!
김천상무,홈 - 빨간색+파란색 / 어웨이 - 흰색,11위,전체적인 형상으로는 방패 디자인을 사용한다. 김천의 삼산과 이수를 단순화하여 청정자연 도시의 이미지를 부여하고. 상무의 오랜 상징인 불사조와 조합함으로써 팀의 정체성을 강화. 김천과 상무의 상생 및 상승에 대한 의지를 표현하고 있다.,김천종합운동장,슈웅,정정용,이영재,1984년 1월 11일 창단 되었고 군경 구단이다. 우승기록으로는 K리그2 3회(2013. 2015. 2021)/ 전국축구선수권대회 1회(1996)가 있다.,김지현. 이지훈. 이준석. 조영욱. 정치인. 이중민. 김민준. 이영준,이영재. 윤석주. 김준범. 권창훈. 김현욱. 원두재. 김동현. 김진규. 구본철. 강현묵,임승겸. 최병찬. 강윤성. 이유현. 김륜성. 박민규. 윤종규. 김태현. 김재우. 이상민,문경건. 신송훈. 강현무. 김준홍,더~높게 힘~차게 승리를 위하여~ 팬들의 함성에 응답하라 김천상무 빅토리~ 수사불패 김천상무 승리를 위하여~ 정상을 향해~ 달려가자 김천상무 빅토리~
