전북현대모터스  ,1위,우승기록으로는 k리그1 9회로 조규성/백승호 재계약으로 우승가능성이 매우높다.
울산현대 ,2위,우승기록으로는 k리그1 3회로 엄원상/조현우 및 용병선수들의 합으로 2위 가능성이 매우높다.
인천유나이티드  ,3위,최고 성적은 2005년 K리그1 준우승이지만 현재 폼을 유지하면 충분하게 3위 가능성이 높다.
포항스틸야드  ,4위,우승기록으로는 K리그1 5회로 새로운 용병선수들을 이적시장에서 탐색하고있으므로 4위 가능성이 높다.
대전하나시티즌 ,5위,우승 기록으로는 K리그2 1회지만 K리그1로 올라와 좋은 모습을 많이 보이고 있어 5위 가능성이 높다. 
제주유나이티드 ,6위,우승기록으로는 K리그1 1회로 구자철을 필두로 한 현재 제주는 6위에 머물 가능성이 있다.
FC서울 ,7위,우승기록으로는 K리그1 6회로 현재도 높은 순위에 안착해 있지만 감독으로 인해 7위에 남을 가능성이 있다.
수원FC ,8위,우승기록으로는 K리그1 4회로 좋은 폼을 유지하고있지만 다음시즌에 많은 선수들이 이적한다는 이야기가 있어 8위 할 가능성이 있다.
김천상무,9위,우승기록으로는 K리그2 3회로 현재 K리그1에서 중간에 머무는 모습을 보이고 과거에도 그랬기에 9위에 선정하였다.
대구FC ,10위,우승기록은 없으며 세징야의 컨디션 및 이적시장의 변동으로 인해 10위에 선정하였다.
수원삼성블루윙즈 ,11위,우승기록으로는 K리그1 4회로 매우강한 팀이라고 생각하나 선수들의 부상으로 인해 11위에 선정하였다.
성남FC ,12위,23시즌 K리그2에서 상위권에 머물러있으며 다음시즌 무조건 K리그1로 승격하기에 12위로 생각한다.
광주FC ,2부 1위,우승기록으로는 K리그2 2회이며 항상 하위권에 머물러있고 선수교체 할 생각이 없어 2부 1위로 생각한다.
강원FC,2부 2위,우승기록이 없고 K리그1에 항상 등장하는 팀이지만 매번 아쉬운 경기력을 보여주어 2부 2위로 생각한다.
