FC 서울의 마스코트는 무엇일까요? ,1.유티 2.씨드 3.강웅이 4.보니,2,유티(인천유나이티드). 씨드(FC 서울). 강웅이(강원 FC). 보니(광주 FC) 입니다.
수원FC의 마스코트가 아닌것은? ,1.장안장군 2.팔달장군 3.창룡장군 4.아길레온,4,아길레온'은 수원삼성블루윙즈의 마스코트 입니다. 나머지는 수원FC의 마스코트 입니다.
전북현대모터스의 홈 유니폼 색깔은?,1.하늘색 2.주황색 3.초록색 4.빨간색,3,전북현대모터스의 홈 유니폼 색깔은 초록색입니다.
울산현대의 엠블럼에는 봉황이 있다.,1.O 2.X,2,울산현대의 엠블럼에는 호랑이가 있습니다.
대구FC의 주장은 '에드가'이다.,1.O 2.X,2,현재 대구FC의 주장은 '세징야'입니다.
제주 유나이티드에 대한 설명으로 옳은 것은?,1. 마스코트는 감규리 하나이다. 2.K리그1 우승기록은 0회이다. 3.엠블럼에 백록의 뿔이 있다. 4.홈 유니폼은 흰색이다.,3,마스코트는 감규리. 한라할방. 백록이로 3명입니다. 현재 K리그1 우승기록은 1회 입니다. 홈 유니폼은 주황색입니다.
현재 K리그1 최다 우승팀은?,1.수원삼성블루윙즈 2.FC 서울 3.인천유나이티드 4.전북현대모터스 ,4,현재 기준 수원삼성(4회). FC 서울(6회). 인천유나이티드(우승 기록 X). 전북현대모터스(9회) 입니다.
다음 중 K리그1 우승기록이 없는 팀은?,1.인천 유나이티드 2.포항 스틸러스 3.제주 유나이티드 4.울산현대 ,1,현재 기준 인천유나이티드(우승 기록 X). 포항 스틸러스(5회). 제주 유나이티드(1회). 울산현대(3회) 입니다.
다음 중 소속 팀에서 주장이 아닌 선수는?,1.조현우 2.윤빛가람 3.오스마르 4.이기제 ,1,현재 윤빛가람(수원 FC). 오스마르(FC 서울). 이기제(수원삼성블루윙즈)로 각 팀의 주장을 맡고 있고 '조현우'선수가 속한 울산현대의 주장은 '정승현'선수 입니다.
수원삼성블루윙즈의 홈구장은 수원월드컵경기장이고 수원FC의 홈구장은 수원종합운동장이다.,1.O 2.X,1,수원삼성블루윙즈의 홈구장은 수원 월드컵경기장이고 수원FC의 홈구장은 수원 종합운동장입니다. 
